annee;region_academique;academie;departement;commune;college_nom;secteur;nb_6eme_lv1_allemand;nb_6eme_lv1_anglais;nb_6eme_lv1_espagnol;nb_6eme_lv1_autre;nb_6eme_lv2_allemand;nb_6eme_lv2_anglais;nb_6eme_lv2_espagnol;nb_6eme_lv2_italien;nb_6eme_lv2_autre;nb_5eme_lv1_allemand;nb_5eme_lv1_anglais;nb_5eme_lv1_espagnol;nb_5eme_lv1_autre;nb_5eme_lv2_allemand;nb_5eme_lv2_anglais;nb_5eme_lv2_espagnol;nb_5eme_lv2_italien;nb_5eme_lv2_autre;nb_4eme_lv1_allemand;nb_4eme_lv1_anglais;nb_4eme_lv1_espagnol;nb_4eme_lv1_autre;nb_4eme_lv2_allemand;nb_4eme_lv2_anglais;nb_4eme_lv2_espagnol;nb_4eme_lv2_italien;nb_4eme_lv2_autre;nb_3eme_lv1_allemand;nb_3eme_lv1_anglais;nb_3eme_lv1_espagnol;nb_3eme_lv1_autre;nb_3eme_lv2_allemand;nb_3eme_lv2_anglais;nb_3eme_lv2_espagnol;nb_3eme_lv2_italien;nb_3eme_lv2_autre
2020;BRETAGNE;RENNES;MORBIHAN;HENNEBONT;PIERRE ET MARIE CURIE;PUBLIC;0;174;0;0;0;0;0;0;0;0;158;0;0;10;0;148;0;0;0;165;0;0;5;0;160;0;0;0;167;0;0;15;0;152;0;0
2020;BRETAGNE;RENNES;MORBIHAN;HENNEBONT;EMILE ZOLA;PUBLIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;24;0;0
2020;BRETAGNE;RENNES;MORBIHAN;LANESTER;NOTRE DAME DU PONT;PRIVE;0;100;0;0;0;0;0;0;0;0;86;0;0;6;0;80;0;0;0;93;0;0;7;0;86;0;0;0;112;0;0;11;0;101;0;0
2020;BRETAGNE;RENNES;MORBIHAN;LA ROCHE-BERNARD;ST JOSEPH - LA SALLE;PRIVE;0;160;0;0;0;0;0;0;0;0;168;0;0;19;0;149;0;0;0;135;0;0;13;0;122;0;0;0;159;0;0;24;0;135;0;0
2020;BRETAGNE;RENNES;MORBIHAN;LE FAOUET;JEAN CORENTIN CARRE;PUBLIC;0;54;0;0;0;0;0;0;0;0;53;0;0;8;0;44;0;0;0;52;0;0;6;0;45;0;0;0;52;0;0;11;0;36;0;0
2020;BRETAGNE;RENNES;MORBIHAN;LE PALAIS;MICHEL LOTTE;PUBLIC;0;31;0;0;0;0;0;0;0;0;35;0;0;4;0;31;0;0;0;33;0;0;5;0;28;0;0;0;39;0;0;1;0;38;0;0
2020;BRETAGNE;RENNES;MORBIHAN;LE PALAIS;STE CROIX;PRIVE;0;18;0;0;0;0;0;0;0;0;17;0;0;4;0;13;0;0;0;12;0;0;2;0;10;0;0;0;15;0;0;4;0;11;0;0
2020;BRETAGNE;RENNES;MORBIHAN;LORIENT;ST LOUIS;PRIVE;0;101;0;0;0;0;0;0;0;10;107;0;0;0;10;107;0;0;9;103;0;0;0;9;103;0;0;11;104;0;0;0;11;104;0;0
2020;BRETAGNE;RENNES;MORBIHAN;LORIENT;SAINT JOSEPH - LA SALLE;PRIVE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;43;0;0
2020;BRETAGNE;RENNES;MORBIHAN;MALANSAC;RENE-GUY CADOU;PUBLIC;0;64;0;0;0;0;0;0;0;0;84;0;0;7;0;76;0;0;0;72;0;0;12;0;59;0;0;0;73;0;0;18;0;53;0;0
2020;BRETAGNE;RENNES;MORBIHAN;MUZILLAC;STE THERESE;PRIVE;0;102;0;0;0;0;0;0;0;0;102;0;0;17;0;85;0;0;0;122;0;0;15;0;107;0;0;0;102;0;0;27;0;75;0;0
2020;BRETAGNE;RENNES;MORBIHAN;PLOERMEL;LA MENNAIS;PRIVE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;3;0;10;0;0
2020;BRETAGNE;RENNES;MORBIHAN;PONTIVY;JEANNE D'ARC-ST IVY;PRIVE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;1;1;0;31;0;1
