annee;region_academique;academie;departement;commune;college_nom;secteur;nb_fille_6eme;nb_garcon_6eme;nb_fille_5eme;nb_garcon_5eme;nb_fille_4eme;nb_garcon_4eme;nb_fille_3eme;nb_garcon_3eme
2020;BRETAGNE;RENNES;MORBIHAN;HENNEBONT;PIERRE ET MARIE CURIE;PUBLIC;82;92;77;81;73;92;78;89
2020;BRETAGNE;RENNES;MORBIHAN;HENNEBONT;EMILE ZOLA;PUBLIC;0;0;0;0;0;0;8;16
2020;BRETAGNE;RENNES;MORBIHAN;LANESTER;NOTRE DAME DU PONT;PRIVE;50;50;39;47;47;46;50;62
2020;BRETAGNE;RENNES;MORBIHAN;LA ROCHE-BERNARD;ST JOSEPH - LA SALLE;PRIVE;85;75;75;93;63;72;84;75
2020;BRETAGNE;RENNES;MORBIHAN;LE FAOUET;JEAN CORENTIN CARRE;PUBLIC;31;23;23;30;26;26;30;22
2020;BRETAGNE;RENNES;MORBIHAN;LE PALAIS;MICHEL LOTTE;PUBLIC;18;13;13;22;18;15;19;20
2020;BRETAGNE;RENNES;MORBIHAN;LE PALAIS;STE CROIX;PRIVE;7;11;10;7;6;6;6;9
2020;BRETAGNE;RENNES;MORBIHAN;LORIENT;ST LOUIS;PRIVE;62;40;65;52;44;68;57;58
2020;BRETAGNE;RENNES;MORBIHAN;LORIENT;SAINT JOSEPH - LA SALLE;PRIVE;0;0;0;0;0;0;12;31
2020;BRETAGNE;RENNES;MORBIHAN;MALANSAC;RENE-GUY CADOU;PUBLIC;35;30;38;47;37;35;36;38
2020;BRETAGNE;RENNES;MORBIHAN;MUZILLAC;STE THERESE;PRIVE;44;58;52;50;60;62;54;48
2020;BRETAGNE;RENNES;MORBIHAN;PLOERMEL;LA MENNAIS;PRIVE;0;0;0;0;0;0;2;11
2020;BRETAGNE;RENNES;MORBIHAN;PONTIVY;JEANNE D'ARC-ST IVY;PRIVE;0;0;0;0;0;0;10;23
2020;BRETAGNE;RENNES;MORBIHAN;PONTIVY;ROMAIN ROLLAND;PUBLIC;58;68;41;79;58;83;64;60
2020;BRETAGNE;RENNES;MORBIHAN;ROHAN;YVES LE BEC;PUBLIC;24;30;28;37;35;34;26;19
2020;BRETAGNE;RENNES;MORBIHAN;SAINT-AVE;NOTRE DAME;PRIVE;53;62;63;59;63;52;56;51
2020;BRETAGNE;RENNES;MORBIHAN;SAINT-JEAN-BREVELAY;EUGENE GUILLEVIC;PUBLIC;22;16;24;24;25;26;28;31
